SIZES,CITY,jong,totwage
4,11,76,265720
5,11,225,766031
5,11,197,619736
5,11,363,868575
6,11,264,814956
4,11,359,1130824
6,11,575,2256681
3,11,54,112970
5,11,452,1802113
1,11,7,9976
3,11,31,97934
4,11,144,378685
2,11,20,61319
5,11,456,1482050
1,11,11,31553
5,11,286,805192
1,11,10,20290
1,11,4,4844
2,11,27,65433
2,11,4,5502
2,11,4,7536
1,11,15,22868
5,11,288,642794
1,11,8,10500
1,11,9,14676
2,11,18,29105
2,11,13,18868
3,11,81,172400
4,11,93,249286
4,11,112,293664
2,11,12,19101
3,11,28,225170
3,11,44,293318
1,11,5,11356
1,11,11,26870
1,11,3,5780
1,11,6,11998
1,11,2,5000
2,11,7,34984
2,11,15,33047
2,11,9,22574
2,11,7,15528
3,11,32,57491
3,11,84,338707
3,11,52,134806
3,11,10,29779
3,11,45,221443
3,11,21,41727
4,11,17,50416
5,11,263,1304613
1,11,9,22140
1,11,3,3500
2,11,3,6905
1,11,3,4500
3,11,29,66493
3,11,17,31093
4,11,79,172732
5,11,119,220889
1,11,8,9000
1,11,0,0
1,11,2,2000
2,11,5,9566
2,11,2,3750
3,11,14,10323
